timestamp;tag;avgsentiment;notweets;tweet1;tweet2
[1970-01-23 15:19:55, 1970-01-23 15:20:00];google;-0.045324072862664856;15.0;b'RT @darlinghsw: [ENG SUB] 191113 HIDDEN TRACK - VICTON\n\nso youtube blocked the content \xf0\x9f\x98\x90 idk when it\xe2\x80\x99ll be released or if it\xe2\x80\x99ll ever Be Rel\xe2\x80\xa6';b'RT @CyberNews_com: #Alphabet Inc is shutting down Loon after concluding the business, which offers balloons as an alternative to cell tower\xe2\x80\xa6'
[1970-01-23 15:19:55, 1970-01-23 15:20:00];netflix;0.04903846176771017;13.0;b'thank you netflix for adding a shuffle button and helping my indecisive self finally watch something';"b""RT @mookmanshawty: Shawty Lo's actually"""
[1970-01-23 15:20:00, 1970-01-23 15:20:05];google;0.06696428664560829;28.0;"b""Took a while to get used to Larry King's Interview Style.  Then realized he was like you and I if we had the chance\xe2\x80\xa6 https://t.co/0Nh1OkD59k""";b'#JammwalLions read \xf0\x9f\xa4\x97\xf0\x9f\xa4\xa9\xf0\x9f\x98\x8a\n@VidyutJammwal @tonyjaaofficial \nhttps://t.co/HUdwweRxdg'
[1970-01-23 15:20:00, 1970-01-23 15:20:05];netflix;0.0999999994581396;11.0;b'RT @blaksyn: I\xe2\x80\x99m done with Netflix and Chill in 2021.\n\nIt\xe2\x80\x99s Nudity and Charcuterie all year.';b'RT @yourfavidol: any moomoos wanna watch uncanny counter tgt later at 12am KST on netflix party \xf0\x9f\x98\x8a'
[1970-01-23 15:20:05, 1970-01-23 15:20:10];google;0.06275510202561106;14.0;b'Google says ufc 257 canceled..imagine?';b'*Spin To Win*\n\n1.Spin And Earn\n2.Scratch And Earn\nhttps://t.co/5xkCydBajE And Earn\n4.Share And Earn\n5.Withdraw Mone\xe2\x80\xa6 https://t.co/duFqMTOCs3'
[1970-01-23 15:20:05, 1970-01-23 15:20:10];netflix;0.03935606084996834;8.0;b'Watched SPLIT movie in #Netflix ...psychological thriller.. Typical M. Night shyamalan movie.. Highly recommended';"b'RT @BUNNYMYE0N: 210123 SEHUN INSTAGRAM LIVE \n\nSehun: Hello~ (in Korean &amp; English) What are you doing everyone? How do (I) say ""What are you\xe2\x80\xa6'"
[1970-01-23 15:20:10, 1970-01-23 15:20:15];google;0.11590909212827682;11.0;b'RT @rraappee_: \xe2\x99\xa1\xef\xb8\x8e pls rt \xe2\x99\xa1\xef\xb8\x8e\n\n\xe2\x8b\x86\xe2\x81\xba\xe2\x82\x8a\xe2\x8b\x86 p\xe2\x80\x94 powerpoint template by gpd \xe2\x9f\xa1 \xf0\x9f\xaa\xa5\n\xf0\x9f\xaa\xa3 : give awayyy \n\nlink : https://t.co/rYSeRpXzFr\n\n\xf0\x9f\x95\xb3for private use only\xe2\x80\xa6';"b""RT @HelecaArt: Hi, I'm Heleca, a french freelance artist that loves all things fantasy. My commissions are currently OPEN, and most importa\xe2\x80\xa6"""
[1970-01-23 15:20:10, 1970-01-23 15:20:15];netflix;0.06714466338356335;6.0;b'RT @stcIou: Sehun said he doesn\xe2\x80\x99t usually watch dramas but he watched all of this Chinese show on Netflix yesterday \xf0\x9f\x98\x80 https://t.co/6Tgww6cq\xe2\x80\xa6';"b'RT @BUNNYMYE0N: 210123 SEHUN INSTAGRAM LIVE \n\nSehun: Hello~ (in Korean &amp; English) What are you doing everyone? How do (I) say ""What are you\xe2\x80\xa6'"
[1970-01-23 15:20:15, 1970-01-23 15:20:20];google;-0.008069829124471416;23.0;b'RT @Alexey_Pushkov: They will survive. And others will.';b'RT @AVindman: Protests from Kaliningrad to Vladivostok and Murmansk to Krasnodar. @navalny called for mass protests in Russia and the peopl\xe2\x80\xa6'
[1970-01-23 15:20:15, 1970-01-23 15:20:20];netflix;0.17771577409335546;14.0;"b""RT @mookmanshawty: Shawty Lo's actually""";"b""RT @jacobdudman_: Thank you for all the lovely messages about #FATETheWinxSaga. We're popping up as No.1 on Netflix all over the world, and\xe2\x80\xa6"""
[1970-01-23 15:20:20, 1970-01-23 15:20:25];google;0.1918589762197091;13.0;b'RT @CARgovaffairs: REALTORS\xc2\xae support #SB6 as an innovative solution to build more housing in California. Thank you, @CASenCaballero, for le\xe2\x80\xa6';b'Industrial Rolling Bookshelf - https://t.co/mad5S3DODO https://t.co/KSbyV0k1HW https://t.co/orOKK1tuk4'
[1970-01-23 15:20:20, 1970-01-23 15:20:25];netflix;0.1630275994539261;8.0;b'@kxmren And a Netflix account?!';"b'RT @Joni_LCroft: Seen ""Isa Pa with Feelings"" on Netflix yet?\n\nLove is love. No matter what. \xe2\x9d\xa3\nhttps://t.co/Rx2n8M77Uu'"
[1970-01-23 15:20:25, 1970-01-23 15:20:30];google;0.21527777835726736;15.0;b'RT @KaneShaw16: Screw it, since I\xe2\x80\x99ve got your attention. It\xe2\x80\x99s probs worth reading up on Unisons history of undermining other unions, and pa\xe2\x80\xa6';"b""RT @SHwanwoong: ONEUS's Wallpapers drive \n(Self-note : some are for desktops)\n:https://t.co/wNAh1pthR7\n\nAs long as u give credit everything\xe2\x80\xa6"""
[1970-01-23 15:20:25, 1970-01-23 15:20:30];netflix;-0.056800965473733166;11.0;b'\xf0\x9f\x8c\xbb NETFLIX ANTI HOLD \xf0\x9f\x8c\xbb\n\n \xf0\x9f\x92\x9f SHARING 1 BULAN 25K\n \xf0\x9f\x92\x9f SHARING 3 BULAN 75K\n \xf0\x9f\x92\x9f PRIVATE 1 BULAN 125K\n \xf0\x9f\x92\x9f PERPANJANG / REQ PR\xe2\x80\xa6 https://t.co/FOl3cbCVNx';b'RT @youmemmatsix: first lockdown was daily walks, workouts and baking bread, second was netflix and food, now the third is just trying to s\xe2\x80\xa6'
[1970-01-23 15:20:30, 1970-01-23 15:20:35];google;0.07517857210976737;14.0;b'RT @babytaekiddo: ( pls rt \xf0\x9f\x91\x97 )\n\n\xe2\x99\xa1\xf0\x9f\xa7\xbd\xcb\x9a \xe0\xbc\x98 preorder key ring \xf0\x9f\x92\x96\nby @babytaekiddo and @loginwpeep \n\n\xcb\x93\xe2\xa0\x80today - 30 JAN\xe2\xa0\x80\xcb\x92\n\nhttps://t.co/8iCr7lvL3A ht\xe2\x80\xa6';b'RT @AVindman: Protests from Kaliningrad to Vladivostok and Murmansk to Krasnodar. @navalny called for mass protests in Russia and the peopl\xe2\x80\xa6'
[1970-01-23 15:20:30, 1970-01-23 15:20:35];netflix;0.2784379507814135;7.0;"b""RT @mookmanshawty: Shawty Lo's actually""";b'RT @FlawLESSnBr0wn: It\xe2\x80\x99s official, #Lupin is my new shit. @netflix I\xe2\x80\x99m gonna go ahead and give it to y\xe2\x80\x99all. Lol.'
